bus,car,location,motorbike,timestamp_utc,total_vehicles,traffic_status,truck
0,0,CMT8_PhamVanHai,7,2025-07-05T09:02:25.692626,7,1,0
0,1,CMT8_PhamVanHai,1,2025-07-05T09:02:41.248507,2,1,0
0,0,CMT8_PhamVanHai,1,2025-07-05T09:02:56.937207,1,1,0
0,2,CMT8_PhamVanHai,3,2025-07-05T09:03:12.634674,5,1,0
0,4,CMT8_PhamVanHai,6,2025-07-05T09:03:28.277761,10,2,0
0,2,CMT8_PhamVanHai,11,2025-07-05T09:03:43.847096,13,2,0
0,4,CMT8_PhamVanHai,10,2025-07-05T09:03:59.797702,14,2,0
0,3,CMT8_PhamVanHai,1,2025-07-05T09:04:15.460091,4,1,0
0,4,CMT8_PhamVanHai,4,2025-07-05T09:04:31.097281,8,2,0
0,3,CMT8_PhamVanHai,1,2025-07-05T09:04:46.625507,4,1,0
0,4,CMT8_PhamVanHai,10,2025-07-05T09:05:02.309870,14,2,0
0,6,CMT8_PhamVanHai,7,2025-07-05T09:05:18.806646,13,2,0
0,4,CMT8_PhamVanHai,5,2025-07-05T09:05:34.938390,9,2,0
0,7,CMT8_PhamVanHai,3,2025-07-05T09:05:50.509240,10,2,0
0,4,CMT8_PhamVanHai,3,2025-07-05T09:06:06.100659,8,2,1
0,2,CMT8_PhamVanHai,10,2025-07-05T09:06:21.634803,12,2,0
0,2,CMT8_PhamVanHai,4,2025-07-05T09:06:37.199452,6,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T09:06:52.776529,8,2,0
0,4,CMT8_PhamVanHai,6,2025-07-05T09:07:08.364660,10,2,0
0,5,CMT8_PhamVanHai,1,2025-07-05T09:07:23.976722,7,2,1
0,2,CMT8_PhamVanHai,4,2025-07-05T09:07:39.928042,6,1,0
0,1,CMT8_PhamVanHai,15,2025-07-05T09:07:55.459467,16,2,0
0,3,CMT8_PhamVanHai,1,2025-07-05T09:08:12.480980,6,2,2
0,4,CMT8_PhamVanHai,4,2025-07-05T09:08:28.121937,9,2,1
0,1,CMT8_PhamVanHai,9,2025-07-05T09:08:44.808598,10,1,0
0,3,CMT8_PhamVanHai,2,2025-07-05T09:09:00.353706,6,2,1
0,1,CMT8_PhamVanHai,3,2025-07-05T09:09:16.343716,5,1,1
